,weightedAvgPcvrBias,avgPcvrBias
product_type,7.45%,10.74%
material_id,7.41%,44.67%
group_id,7.06%,23.28%
destiny_url,5.95%,46.06%
advertiser_category,5.53%,13.40%
secondary_industry_id,5.43%,13.87%
primary_industry_id,4.88%,50.77%
ecc_cate_level_3,4.05%,28.05%
ecc_cate_level_4,4.03%,30.19%
ecc_price,3.99%,28.96%
creative_size,3.92%,4.34%
template_id,3.85%,22.57%
vest_id,3.82%,20.11%
item_id,3.82%,34.03%
jd_shop_id,3.79%,29.09%
check_type,3.78%,42.51%
expansion_hit_targeting_mask,3.65%,9.17%
is_canvas,3.59%,29.91%
